split_name,split_row_index,global_review_rank,item_id,axis,gold,clean_pred,clean_gold_gap,gemini,seed,core_mean,max_clean_vs_gemini_seed_gap,mean_clean_vs_gemini_seed_gap,gemini_seed_support_gold,gemini_seed_support_clean,all_judge_support_gold,all_judge_support_clean,review_score,dataset,gen_model,task,episode,instruction,all_judge_scores,video_url,clean_output_snippet
part1,11,11,data__open_x_embodiment__generated_data__abot_physworld_f113_prefix__task_0120__episode_0001__1__task_0120_episode_0001,IA,5,3,2,5,5,5.0,2,2.0,2,0,5,1,48.0,open_x_embodiment,abot_physworld_f113_prefix,task_0120,episode_0001,"""Grasp the brown book.""","{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 3, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/abot_physworld_f113_prefix/task_0120/episode_0001/1/task_0120_episode_0001.mp4,"{""reasoning"": ""Agent match: The same white robotic arm/gripper visible in the first frame performs the motion throughout; no new or different manipulator appears. Object correctness: The robot interacts with the brown rectangular book, which is the instructed target object, not the blue cup, bowl, or other items. Goal completion: The robot makes contact with the brown book and appears to lift or hold it briefly, but by the end the book is upright on the table/bowl area and the gripper is not cle"
part1,12,12,data__open_x_embodiment__generated_data__veo31_lite_prefix__task_0066__episode_0001__1__task_0066_episode_0001,PA,5,3,2,5,5,5.0,2,2.0,2,0,4,0,48.0,open_x_embodiment,veo31_lite_prefix,task_0066,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/veo31_lite_prefix/task_0066/episode_0001/1/task_0066_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the robot arm and two-finger gripper remain structurally consistent throughout, with no obvious melting, extra parts, or severe warping; the red fingertips and white gripper body keep their general shape. Scene & object consistency: the table, plate, blue object, bowl, black box, and background remain mostly stable, but the purple cup changes appearance noticeably as it is approached and lifted, becoming darker and more elongated, and the red fingertips seem to pa"
part1,13,13,data__robotwin__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0103__episode_0001__1__task_0103_episode_0001,IA,5,3,2,5,5,5.0,2,2.0,2,0,4,0,48.0,robotwin,gigaworld_gr1_2b_f113_rewrite,task_0103,episode_0001,"""Locate and press the dark grey rounded square-shaped alarm clock's top center button on the grey table with the black robotic gripper.""","{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0103/episode_0001/1/task_0103_episode_0001.mp4,"{""reasoning"": ""Agent match: The black robotic gripper/arm that enters the scene appears to be the same manipulator associated with the initial setup, so the agent is mostly consistent. Object correctness: The dark grey rounded square alarm clock on the grey table is the relevant target, and the gripper moves toward that object, but it does not clearly target the top center button; it appears to contact the front/top surface area instead. Goal completion: The instructed action is to press the top"
part1,14,14,data__agibot_world__generated_data__abot_physworld_f113_prefix__task_0018__episode_0001__1__task_0018_episode_0001,PA,5,3,2,5,5,5.0,2,2.0,2,0,4,1,47.0,agibot_world,abot_physworld_f113_prefix,task_0018,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 5, ""Gemini-3.5-Flash"": 5, ""PhyJudge"": 4, ""Qwen3.7-Max"": 3, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 5}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/abot_physworld_f113_prefix/task_0018/episode_0001/1/task_0018_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both robot arms and black grippers remain structurally consistent throughout; the fingers, wrist housings, cables, and arm bodies do not melt, duplicate, or visibly warp. Scene & object consistency: the tabletop, plastic bag, pink pack, and background remain stable with no major teleporting or disappearance. The pink pack keeps its general identity, though its shape changes somewhat as it is compressed and partially occluded by the bag. Interaction realism: the ri"
part1,15,15,data__egodex_human__generated_data__wow_wan14b_f105_rewrite__task_0095__episode_0001__1__task_0095_episode_0001,PA,3,5,2,3,3,3.0,2,2.0,2,0,4,2,46.0,egodex_human,wow_wan14b_f105_rewrite,task_0095,episode_0001,,"{""GPT-5.2"": 3, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 3, ""PhyJudge"": 3, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/wow_wan14b_f105_rewrite/task_0095/episode_0001/1/task_0095_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both human hands and forearms remain anatomically consistent, with stable fingers, wrists, skin tone, and the bracelet on the left wrist; no extra digits, melting, or warping is visible. Scene & object consistency: the yellow tabletop, beige corner walls, large mound of multicolored beads, and small white bead stay temporally stable; the pile keeps its shape and color distribution. Interaction realism: the right hand pinches and lifts beads from the mound, while t"
part1,16,16,data__epickitchens_human__generated_data__wan26_flash_rewrite__task_0055__episode_0001__1__task_0055_episode_0001,PA,3,5,2,3,3,3.0,2,2.0,2,0,2,2,44.0,epickitchens_human,wan26_flash_rewrite,task_0055,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 3, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/wan26_flash_rewrite/task_0055/episode_0001/1/task_0055_episode_0001.mp4,"{""reasoning"": ""Agent integrity: The human hands, forearms, and visible feet remain anatomically consistent throughout; fingers keep plausible proportions while holding the egg, with no extra digits, melting, or warping. Scene & object consistency: The black glass stovetop, frying pan, sausage slices, pot, spoon, plate with orange liquid, sink, bottles, and countertop stay fixed; the egg and pan contents do not flicker or teleport. Interaction realism: The hands bring the brown egg over the pan, "
part1,17,17,data__egodex_human__generated_data__cogvideo_i2v_f113_prefix__task_0090__episode_0001__1__task_0090_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,3,43.0,egodex_human,cogvideo_i2v_f113_prefix,task_0090,episode_0001,,"{""GPT-5.2"": 3, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 3, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cogvideo_i2v_f113_prefix/task_0090/episode_0001/1/task_0090_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both human hands remain anatomically consistent, with stable fingers, wrists, and sleeves; no extra digits, melting, or warping is visible. Scene & object consistency: the yellow tabletop, brown curtain, white tray, and white block pieces stay stable; the tray does not slide or deform. The small white block keeps its rectangular shape as it is lifted from the tray; its edges remain coherent. Interaction realism: the right hand pinches the block, lifts it, and lowe"
part1,18,18,data__epickitchens_human__generated_data__cosmos3_rewrite__task_0056__episode_0001__1__task_0056_episode_0001,IA,3,5,2,3,3,3.0,2,2.0,2,0,2,3,43.0,epickitchens_human,cosmos3_rewrite,task_0056,episode_0001,"""Pick up the white and blue bag from the top left using your left hand.""","{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 3, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/cosmos3_rewrite/task_0056/episode_0001/1/task_0056_episode_0001.mp4,"{""reasoning"": ""Agent match: The same visible human manipulator from the first frame appears to perform the action; the left arm with the black wristband is the one that reaches for and holds the bag. Object correctness: The manipulated object is the white-and-blue bag, matching the instructed target, although the video shows some visual duplication/ambiguity with another similar bag. Goal completion: The left hand grasps the white-and-blue bag and lifts it off the surface by the end, so the pick"
part1,19,19,data__gr1_inlab__generated_data__cogvideo_i2v_f113_rewrite__task_0049__episode_0001__1__task_0049_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,3,4,43.0,gr1_inlab,cogvideo_i2v_f113_rewrite,task_0049,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 2, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/cogvideo_i2v_f113_rewrite/task_0049/episode_0001/1/task_0049_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the two black robotic hands remain structurally consistent and stationary, with no visible melting, extra fingers, or warping; the human hand/forearm entering from the right also appears anatomically consistent. Scene & object consistency: the table, curtain, plant-like stand, wooden base, and small cup remain stable. The large white mug enters from offscreen and stays consistent, though the small cup on the right becomes partially occluded and its visibility is s"
part1,20,20,data__open_x_embodiment__generated_data__cosmos3_rewrite__task_0106__episode_0001__1__task_0106_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,3,43.0,open_x_embodiment,cosmos3_rewrite,task_0106,episode_0001,,"{""GPT-5.2"": 3, ""GPT-5.5"": 3, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cosmos3_rewrite/task_0106/episode_0001/1/task_0106_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the robot arm and two-finger gripper remain structurally consistent throughout the main sequence, with no obvious melting, extra parts, or severe warping; the first frame is heavily blurred but the arm geometry later stays coherent. Scene & object consistency: after the initial cut, the tabletop, bowls, blue patterned box, and background remain stable with no major teleporting or morphing. The first frame is a different, blurry view and then the scene changes abru"
part1,21,21,data__egodex_human__generated_data__wow_wan14b_f105_prefix__task_0141__episode_0001__1__task_0141_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,4,42.0,egodex_human,wow_wan14b_f105_prefix,task_0141,episode_0001,,"{""GPT-5.2"": 3, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/wow_wan14b_f105_prefix/task_0141/episode_0001/1/task_0141_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both human hands and forearms remain anatomically consistent, with stable fingers, wrists, and sleeves; no extra digits, melting, or warping is visible. Scene & object consistency: the green bedspread, black power strip, metal stand, purple cushion, wall outlet, and cable keep fixed identities; the strip does not teleport. Interaction realism: the hands approach the strip, pinch its front edge, and pull it forward in a plausible sliding motion; the base stays supp"
part1,22,22,data__egodex_human__generated_data__cosmos3_prefix__task_0059__episode_0001__1__task_0059_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,5,41.0,egodex_human,cosmos3_prefix,task_0059,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 5, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cosmos3_prefix/task_0059/episode_0001/1/task_0059_episode_0001.mp4,"{""reasoning"": ""Agent integrity: both human hands remain anatomically consistent, with stable fingers, wrists, and the bracelet on the left wrist; no extra digits, melting, or warping is visible. Scene & object consistency: the pink tablecloth, white backdrop, side wall, dark doorway, black bottle, red cap, and label stay coherent; the bottle keeps its cylindrical shape. Interaction realism: the left hand braces the bottle while the right hand reaches to the red cap, grips it, and twists in a pla"
part1,23,23,data__epickitchens_human__generated_data__cogvideo_i2v_f113_prefix__task_0036__episode_0001__1__task_0036_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,5,41.0,epickitchens_human,cogvideo_i2v_f113_prefix,task_0036,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/cogvideo_i2v_f113_prefix/task_0036/episode_0001/1/task_0036_episode_0001.mp4,"{""reasoning"": ""Agent integrity: The human hands and forearms remain structurally consistent throughout, with no obvious extra fingers, melting, or severe warping; the soap-covered hands are sometimes visually ambiguous but not physically impossible. Scene & object consistency: The sink, faucet, dishes, glasses, plates, soap bottle, and surrounding kitchen remain stable with no major teleporting or disappearance. The utensils in the sink are mostly consistent, though the exact number/identity of "
part1,24,24,data__epickitchens_human__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0042__episode_0001__1__task_0042_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,5,41.0,epickitchens_human,wan22_ti2v5b_1280x704_f169_rewrite,task_0042,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0042/episode_0001/1/task_0042_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the human hands and forearms remain anatomically consistent, with stable fingers, wrists, rings, and bracelet; no extra digits, melting, or warping is visible. Scene & object consistency: the stainless steel bowl, green leafy vegetables, gas stove, wok, tiled counter, green bottle, and small bowl of chopped greens stay recognizable. The vegetables keep their leafy texture and volume, though the close-up makes the pile look slightly compressed and the bowl rim shif"
part1,25,25,data__epickitchens_human__generated_data__wow_wan14b_f105_prefix__task_0009__episode_0001__1__task_0009_episode_0001,PA,2,4,2,2,2,2.0,2,2.0,2,0,2,5,41.0,epickitchens_human,wow_wan14b_f105_prefix,task_0009,episode_0001,,"{""GPT-5.2"": 5, ""GPT-5.5"": 4, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 5, ""Seed-2.0-Pro"": 2}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/epickitchens_human/generated_data/wow_wan14b_f105_prefix/task_0009/episode_0001/1/task_0009_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the human hands and forearms remain anatomically consistent, with no extra fingers, melting, or major warping; motion blur and occlusion make some finger positions hard to read but not physically impossible. Scene & object consistency: the wooden cabinet, red appliance, wicker basket, tiled floor, blue tool, and hanging red peppers stay fixed; the white cable keeps its coiled form, though individual strands shift slightly between frames. Interaction realism: the h"
part1,26,26,data__egoscaler_human__generated_data__wow_wan14b_f105_rewrite__task_0066__episode_0001__1__task_0066_episode_0001,PA,1,5,4,2,3,2.5,3,2.5,1,0,2,4,64.5,egoscaler_human,wow_wan14b_f105_rewrite,task_0066,episode_0001,,"{""GPT-5.2"": 4, ""GPT-5.5"": 5, ""Gemini-3.5-Flash"": 2, ""PhyJudge"": 4, ""Qwen3.7-Max"": 5, ""Qwen3.7-Plus"": 1, ""Seed-2.0-Pro"": 3}",https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wow_wan14b_f105_rewrite/task_0066/episode_0001/1/task_0066_episode_0001.mp4,"{""reasoning"": ""Agent integrity: the visible human forearms and hands remain anatomically consistent, with no extra fingers, melting, or warping; the left hand stays near the open refrigerator and the right hand remains over the counter. Scene & object consistency: the stainless counter, sink, open fridge door, green cutting board, yellow food bowl, red checkered cloth, pan, bottles, and window stay fixed; only minor camera blur and glare appear. Interaction realism: the left hand appears to hold"
