audit_rank,axis,item_id,dataset,gen_model,task,episode,test_split,gold_score,b47_ckpt200_score,diff_model_minus_gold,direction,gold_subscores,gold_subscore_sum,video_url,init_frame_url,b47_reasoning,audit_bucket,review_status
11,IA,data__egodex_human__generated_data__cogvideo_i2v_f113_prefix__task_0029__episode_0001__1__task_0029_episode_0001,egodex_human,cogvideo_i2v_f113_prefix,task_0029,episode_0001,id,3,2,-1,model_lower_by_1,2/1/0,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cogvideo_i2v_f113_prefix/task_0029/episode_0001/1/task_0029_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/cogvideo_i2v_f113_prefix/task_0029/episode_0001/1/prompt/init_frame.png,"Agent match: The same visible human hands from the first frame remain present, and the right hand is the one that initially grasps and moves the clear container/lid, so the manipulator is mostly consistent. Object correctness: The video involves the clear plastic container and a silver lid-like object, and the pink plush toy is present, but the manipulation is confused: the right hand appears to lift the whole clear container rather than clearly removing the silver lid, and the lid ends up separated from the container. Goal completion: The instructed sequence is not achieved. The silver lid is not clearly removed from the clear container by the right hand, and the pink plush toy is never inserted into the container; by the end it remains outside the container on the table. Thus the final goal is not completed.",outside_194_absdiff1,unreviewed_audit_sample
12,IA,data__open_x_embodiment__generated_data__cosmos3_rewrite__task_0068__episode_0001__1__task_0068_episode_0001,open_x_embodiment,cosmos3_rewrite,task_0068,episode_0001,id,3,2,-1,model_lower_by_1,2/2/0,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cosmos3_rewrite/task_0068/episode_0001/1/task_0068_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cosmos3_rewrite/task_0068/episode_0001/1/prompt/init_frame.png,"Agent match: The same robotic arm/gripper visible in the first frame performs the motion throughout; no new manipulator appears. Object correctness: The robot manipulates the orange-red bowl-like object, which matches the instructed target, although the scene also shows some visual inconsistency with a purple cup appearing. Goal completion: The robot moves the orange-red bowl toward the dark grey drawer area, but the drawer is not clearly opened, the bowl is not visibly placed inside the top drawer, and the drawer is not closed by the end. The final state appears to have the drawer open or at least not completed with the bowl inside, so the instructed goal is not achieved.",outside_194_absdiff1,unreviewed_audit_sample
13,IA,data__robotwin__generated_data__abot_physworld_f113_prefix__task_0133__episode_0001__1__task_0133_episode_0001,robotwin,abot_physworld_f113_prefix,task_0133,episode_0001,id,3,2,-1,model_lower_by_1,1/1/1,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/abot_physworld_f113_prefix/task_0133/episode_0001/1/task_0133_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/abot_physworld_f113_prefix/task_0133/episode_0001/1/prompt/init_frame.png,"Agent match: The manipulation is performed by the same robot arms visible in the initial scene, with the left and right arms moving in from their original positions. Object correctness: The video involves the relevant colored cubes, but there are major object inconsistencies: the red cube appears duplicated, the blue cube is moved to the left rather than centralized, and the green cube is not correctly placed as the top of the stack. Goal completion: The instructed final state is not achieved. By the end, there is no single centralized stack containing red, green, and blue cubes. Instead, there are separate red/blue stacks and a green cube still being handled or displaced, with the blue cube not in the final stack. The required three-cube stack is not completed.",outside_194_absdiff1,unreviewed_audit_sample
14,IA,data__robotwin__generated_data__cosmos3_prefix__task_0118__episode_0001__1__task_0118_episode_0001,robotwin,cosmos3_prefix,task_0118,episode_0001,id,3,2,-1,model_lower_by_1,2/2/0,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cosmos3_prefix/task_0118/episode_0001/1/task_0118_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cosmos3_prefix/task_0118/episode_0001/1/prompt/init_frame.png,"Agent match: The same white robotic arm with the black gripper visible in the first frame performs the motion throughout; no new manipulator appears. Object correctness: The target should be the small black robotic component on the white and silver electronic scale. The gripper moves toward the scale and appears to contact or disturb the black object, but the object identity becomes visually ambiguous and the black component is not clearly grasped. Goal completion: The instructed goal is not achieved. By the end, the black component is not clearly held in the gripper; it appears to remain on or near the scale, and the arm does not successfully remove it from the scale.",outside_194_absdiff1,unreviewed_audit_sample
15,IA,data__robotwin__generated_data__cosmos3_rewrite__task_0167__episode_0001__1__task_0167_episode_0001,robotwin,cosmos3_rewrite,task_0167,episode_0001,id,3,2,-1,model_lower_by_1,2/2/0,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cosmos3_rewrite/task_0167/episode_0001/1/task_0167_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/cosmos3_rewrite/task_0167/episode_0001/1/prompt/init_frame.png,"Agent match: The black robotic gripper/arm visible in the first frame is the manipulator that moves into the scene, so the agent appears to be the same black gripper. Object correctness: The light brown stand with the tilted panel is the intended target, and the gripper moves toward that object, but it does not clearly grasp it. Goal completion: The stand remains on the olive green table throughout the video; it is not lifted or raised, and there is no clear turning of the stand by the end. The task is only approached, not completed.",outside_194_absdiff1,unreviewed_audit_sample
16,IA,data__gr1_inlab__generated_data__wan26_flash_rewrite__task_0106__episode_0001__1__task_0106_episode_0001,gr1_inlab,wan26_flash_rewrite,task_0106,episode_0001,id,4,5,1,model_higher_by_1,2/1/2,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan26_flash_rewrite/task_0106/episode_0001/1/task_0106_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan26_flash_rewrite/task_0106/episode_0001/1/prompt/init_frame.png,"Agent match: The same two black robotic grippers/arms visible in the first frame remain present throughout; no new or different agent appears. Object correctness: The manipulated object is the yellow corn/cob on the right side of the table, matching the instructed target. Goal completion: The right gripper lifts the corn and moves it toward the left gripper over the wooden table, and the left gripper takes hold of it. By the final frames, the corn is held by the left gripper while the right gripper has released and moved away, so the handover is completed.",outside_194_absdiff1,unreviewed_audit_sample
17,IA,data__robotwin__generated_data__abot_physworld_f113_rewrite__task_0104__episode_0001__1__task_0104_episode_0001,robotwin,abot_physworld_f113_rewrite,task_0104,episode_0001,id,4,5,1,model_higher_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/abot_physworld_f113_rewrite/task_0104/episode_0001/1/task_0104_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/abot_physworld_f113_rewrite/task_0104/episode_0001/1/prompt/init_frame.png,"Agent match: The black robotic gripper/arm that enters from the right appears to be the same manipulator associated with the initial scene; no clearly different agent is introduced. Object correctness: The gripper moves toward the black rounded-square alarm clock located in the bottom right of the frame, which matches the instructed target. Goal completion: The gripper reaches the top center area of the alarm clock and appears to make contact with the top button, but the frames do not clearly show a distinct button depression or unambiguous press action. The task is mostly completed, with only minor uncertainty about the actual button press.",outside_194_absdiff1,unreviewed_audit_sample
18,IA,data__agibot_world__generated_data__happyhorse_prefix__task_0112__episode_0001__1__task_0112_episode_0001,agibot_world,happyhorse_prefix,task_0112,episode_0001,id,4,3,-1,model_lower_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/happyhorse_prefix/task_0112/episode_0001/1/task_0112_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/happyhorse_prefix/task_0112/episode_0001/1/prompt/init_frame.png,"Agent match: The same left robotic gripper visible in the first frame performs the action; the right gripper remains unused. Object correctness: The gripper grasps a brown slice of bread from the small woven basket, which matches the instructed target object. Goal completion: The task is only partially completed. One slice is successfully moved from the basket and placed into a toaster slot, but the instruction requires placing the brown sliced bread into the two slots of the light-colored toaster. The second slice remains in the basket, the toaster is not activated, and the full toasting setup is not achieved by the end.",outside_194_absdiff1,unreviewed_audit_sample
19,IA,data__agibot_world__generated_data__wan26_flash_rewrite__task_0035__episode_0001__1__task_0035_episode_0001,agibot_world,wan26_flash_rewrite,task_0035,episode_0001,id,4,3,-1,model_lower_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan26_flash_rewrite/task_0035/episode_0001/1/task_0035_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan26_flash_rewrite/task_0035/episode_0001/1/prompt/init_frame.png,"Agent match: The same two robotic grippers visible in the first frame perform the actions throughout; no new or different agent appears. Object correctness: The manipulated objects are white packaged food items from the blue bins, matching the instructed target. Goal completion: The task is only partially completed. One white package is moved from the left bin into the empty blue container, and another white package is moved from the right bin toward the area between the bins, but the video ends with the right gripper still holding a white package and not clearly releasing it. Several white packages remain in the bins, and the sorting is incomplete rather than fully achieved.",outside_194_absdiff1,unreviewed_audit_sample
20,IA,data__egoscaler_human__generated_data__cogvideo_i2v_f113_prefix__task_0064__episode_0001__1__task_0064_episode_0001,egoscaler_human,cogvideo_i2v_f113_prefix,task_0064,episode_0001,id,4,3,-1,model_lower_by_1,0/2/2,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/cogvideo_i2v_f113_prefix/task_0064/episode_0001/1/task_0064_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/cogvideo_i2v_f113_prefix/task_0064/episode_0001/1/prompt/init_frame.png,"Agent match: The same visible human hand from the initial frame appears to perform the action; there is no clear new or different manipulator. Object correctness: The hand interacts with the white microwave door, which is the intended target object, though the view changes to a close-up and the door/handle appearance is somewhat distorted. Goal completion: By the end, the hand is in contact with the microwave door area, but it appears to be holding the right-side panel rather than clearly grasping the bottom door/handle. The instructed action of holding the bottom white microwave's door with the left hand is only partially satisfied, with ambiguity about whether the correct door/handle is held and whether it is the left hand.",outside_194_absdiff1,unreviewed_audit_sample
21,IA,data__egoscaler_human__generated_data__kling_prefix__task_0049__episode_0001__1__task_0049_episode_0001,egoscaler_human,kling_prefix,task_0049,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/kling_prefix/task_0049/episode_0001/1/task_0049_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/kling_prefix/task_0049/episode_0001/1/prompt/init_frame.png,"Agent match: The same two human hands visible in the first frame remain the manipulator throughout; no new or different agent appears. Object correctness: The hands interact with the black digital scale, which is the instructed target object. Goal completion: By the end, the black digital scale is flat on the counter and remains there. However, the video mostly shows the scale already on the counter and the hands pressing/adjusting it rather than clearly picking it up and placing it flat with both hands, so the instructed manipulation is only partially demonstrated.",outside_194_absdiff1,unreviewed_audit_sample
22,IA,data__egoscaler_human__generated_data__wan26_flash_prefix__task_0080__episode_0001__1__task_0080_episode_0001,egoscaler_human,wan26_flash_prefix,task_0080,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan26_flash_prefix/task_0080/episode_0001/1/task_0080_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egoscaler_human/generated_data/wan26_flash_prefix/task_0080/episode_0001/1/prompt/init_frame.png,"Agent match: The same two hands visible in the initial frame remain present throughout; the left hand continues holding the white cup and the right hand manipulates the black coffee presser, so there is no new or different agent. Object correctness: The manipulated object is the black coffee presser, and the receiving object is the white cup, matching the instruction. Goal completion: The right hand tilts the presser over the cup and the cup is positioned under the spout, but the frames do not clearly show coffee actually leaving the presser or entering the cup. The liquid level in the cup appears unchanged, so the pour is only implied rather than visibly completed.",outside_194_absdiff1,unreviewed_audit_sample
23,IA,data__gr1_inlab__generated_data__wow_wan14b_f105_prefix__task_0168__episode_0001__1__task_0168_episode_0001,gr1_inlab,wow_wan14b_f105_prefix,task_0168,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0168/episode_0001/1/task_0168_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0168/episode_0001/1/prompt/init_frame.png,"Agent match: The same two robotic grippers/arms visible in the first frame perform the action throughout; no new or different agent appears. Object correctness: The manipulated object is the yellow corn from the wooden table, matching the instructed target. Goal completion: By the end, the corn is on the yellow round plate, so the final spatial goal is achieved. However, the specified handoff is not followed: the right gripper does not clearly pick the corn and the left gripper does not clearly place it; both grippers appear to contact the corn together, and the left gripper is not shown receiving it from the right before placing. Thus the final state is correct, but the instructed right-left manipulation sequence is only partially satisfied.",outside_194_absdiff1,unreviewed_audit_sample
24,IA,data__open_x_embodiment__generated_data__abot_physworld_f113_prefix__task_0100__episode_0001__1__task_0100_episode_0001,open_x_embodiment,abot_physworld_f113_prefix,task_0100,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/abot_physworld_f113_prefix/task_0100/episode_0001/1/task_0100_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/abot_physworld_f113_prefix/task_0100/episode_0001/1/prompt/init_frame.png,"Agent match: The same white robotic arm with the rectangular gripper shown in the first frame performs the motion throughout; no new or different manipulator appears. Object correctness: The robot interacts with the purple cup, which is the instructed target object, not the blue bowl or other objects. Goal completion: The cup is lifted and moved toward the blue bowl, and by the end it appears to be positioned over or partly inside the blue bowl. However, the final state is somewhat ambiguous because the cup seems to remain held by the gripper rather than clearly released and settled inside the bowl, so full completion is not perfectly demonstrated.",outside_194_absdiff1,unreviewed_audit_sample
25,IA,data__robotwin__generated_data__wan26_flash_rewrite__task_0016__episode_0001__1__task_0016_episode_0001,robotwin,wan26_flash_rewrite,task_0016,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wan26_flash_rewrite/task_0016/episode_0001/1/task_0016_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wan26_flash_rewrite/task_0016/episode_0001/1/prompt/init_frame.png,"Agent match: The same robotic arm/gripper visible entering from the left appears to perform the action; there is no evidence of a different agent taking over. Object correctness: The manipulated object is the red block, matching the instructed target. Goal completion: The red block is moved toward the blue pad and appears to be positioned over or partly on it, but by the final frame it is still held by the gripper and not clearly released/set down on the pad. Thus the instructed final state is not fully achieved.",outside_194_absdiff1,unreviewed_audit_sample
